Years,Average inflation rate (%)
1914,0.014579759862779
1915,0.0099667774
1916,0.0756578947
1917,0.1743119266
1918,0.1744791666
1919,0.1485587583
1920,0.1583011583
1921,-0.1066666666
1922,-0.0634328358
1923,0.0179282868
1924,0.0019569471
1925,0.025390625
1926,0.0095238095
1927,-0.0188679245
1928,-0.0134615384
1929,0
1930,-0.0253411306
1931,-0.088
1932,-0.1030701754
1933,-0.0513447432
1934,0.0335051546
1935,0.0249376558
1936,0.00973236
1937,0.0361445783
1938,-0.0186046511
1939,-0.0142180094
1940,0.0096153846
1941,0.05
1942,0.1065759637
1943,0.0614754098
1944,0.0173745173
1945,0.0227703984
1946,0.0853432282
1947,0.1435897435
1948,0.0777279521
1949,-0.0097087378
1950,0.0098039215
1951,0.0790568654
1952,0.0218508997
1953,0.0075471698
1954,0.0049937578
1955,-0.003726708
1956,0.0149625935
1957,0.0356265356
1958,0.0272835112
1959,0.014579759862779
1960,0.0145798
1961,0.010707241476472
1962,0.011987733482019
1963,0.012396694214876
1964,0.012789115646258
1965,0.015851692638367
1966,0.030150753768844
1967,0.027727856225931
1968,0.042717961528853
1969,0.054623862002875
1970,0.058382553384825
1971,0.042927666881304
1972,0.032722782465528
1973,0.061777600637704
1974,0.110548048048048
1975,0.091431468649653
1976,0.057448126354909
1977,0.065016839947284
1978,0.07630963838856
1979,0.112544711292795
1980,0.135492019749684
1981,0.103347153402771
1982,0.061314270002749
1983,0.032124352331606
1984,0.043005354752343
1985,0.035456441520937
1986,0.018980477223428
1987,0.036645632175169
1988,0.040777411074441
1989,0.048270030300895
1990,0.053979564399032
1991,0.042349639645385
1992,0.030288196781497
1993,0.029516569663855
1994,0.026074415921546
1995,0.028054196885365
1996,0.029312041999344
1997,0.023376899373074
1998,0.015522790987436
1999,0.021880271969736
2000,0.033768572714993
2001,0.02826171118854
2002,0.01586031626506
2003,0.022700949733611
2004,0.026772366930917
2005,0.033927468454955
2006,0.032259441007041
2007,0.028526724815014
2008,0.03839100296651
2009,-0.003555462662997
2010,0.016400434423899
2011,0.031568415686221
2012,0.020693372652606
2013,0.014648326556271
2014,0.016222229774082
2015,0.001186271355524
2016,0.012615832057054
2017,0.021301100036596
2018,0.024425832969282
2019,0.018122100752602
2020,0.012335843963064
2021,0.046978589
2022,0.080027998205212
