Years,General merchandise ($),Foods feeds and beverages ($),Industrial supplies and materials ($),Capital goods except automotive ($),Automotive vehicles parts and engines ($),Consumer goods except food and automotive ($)
1999,692924000000,45977000000,145724000000,311249000000,75256000000,80867000000
2000,778718000000,47871000000,171108000000,357000000000,80356000000,89305000000
2001,726283000000,49407000000,159469000000,321724000000,75435000000,88285000000
2002,694069000000,49616000000,157282000000,290437000000,78942000000,84323000000
2003,725018000000,55026000000,173272000000,293673000000,80633000000,89877000000
2004,817516000000,56570000000,206274000000,327540000000,89213000000,103195000000
2005,906104000000,58955000000,236812000000,358426000000,98406000000,115228000000
2006,1030589000000,65962000000,279120000000,404026000000,107263000000,129034000000
2007,1150198000000,84264000000,316284000000,433019000000,121264000000,145863000000
2008,1288516000000,108349000000,386917000000,457655000000,121451000000,161157000000
2009,1055433000000,93908000000,293540000000,391498000000,81715000000,149287000000
2010,1271972000000,107719000000,388561000000,447839000000,112008000000,164909000000
2011,1463637000000,126247000000,485258000000,494202000000,133036000000,174719000000
2012,1524790000000,133049000000,483232000000,527459000000,146158000000,180994000000
2013,1559363000000,136163000000,492422000000,534757000000,152661000000,188093000000
2014,1612611000000,143721000000,500677000000,551758000000,159812000000,198398000000
2015,1489795000000,127721000000,418141000000,539805000000,151894000000,197318000000
2016,1436552000000,130515000000,387600000000,520001000000,150398000000,193258000000
2017,1535249000000,132761000000,459380000000,533696000000,157867000000,197190000000
2018,1654629000000,133144000000,536866000000,563438000000,158833000000,205513000000
2019,1632230000000,130993000000,526410000000,547954000000,162752000000,204976000000
2020,1403785000000,139335000000,450372000000,460493000000,127918000000,173974000000
2021,1729328000000,165216000000,615497000000,519783000000,143603000000,221557000000
