Years,Goods,Services,Investments,Federal Government,State and Local Government
1970,318800000000,327900000000,168000000000,132800000000,119800000000
1971,342100000000,357800000000,188600000000,134500000000,133000000000
1972,373800000000,394300000000,219000000000,141600000000,144500000000
1973,416600000000,432900000000,251000000000,146200000000,158600000000
1974,451500000000,478600000000,260500000000,158800000000,182500000000
1975,491300000000,539200000000,263500000000,173700000000,207400000000
1976,546300000000,601400000000,306100000000,184800000000,219400000000
1977,600400000000,673600000000,374300000000,200300000000,234000000000
1978,663600000000,758700000000,452600000000,218900000000,257400000000
1979,737900000000,847500000000,521700000000,240600000000,284200000000
1980,799800000000,950900000000,536400000000,274900000000,314700000000
1981,869400000000,1064600000000,601400000000,314000000000,340400000000
1982,899300000000,1172000000000,595900000000,348300000000,363100000000
1983,973800000000,1307800000000,643300000000,382400000000,384200000000
1984,1063700000000,1428600000000,754700000000,411800000000,416100000000
1985,1137600000000,1575200000000,807800000000,452900000000,457600000000
1986,1195600000000,1690700000000,842600000000,481700000000,494400000000
1987,1256300000000,1820000000000,865000000000,502800000000,528700000000
1988,1337300000000,1992700000000,918500000000,511400000000,567400000000
1989,1423800000000,2153000000000,972000000000,534100000000,617800000000
1990,1491300000000,2317700000000,978900000000,562400000000,676200000000
1991,1497400000000,2446000000000,944700000000,582900000000,716000000000
1992,1563300000000,2634300000000,996700000000,588500000000,756000000000
1993,1642300000000,2809600000000,1086000000000,580200000000,784800000000
1994,1746600000000,2974400000000,1192700000000,574700000000,827600000000
1995,1815500000000,3147100000000,1286300000000,576700000000,872700000000
1996,1917700000000,3326900000000,1401300000000,579200000000,913700000000
1997,2006500000000,3530300000000,1524700000000,583300000000,963800000000
1998,2108400000000,3768800000000,1673000000000,585500000000,1026100000000
1999,2287100000000,3992000000000,1826200000000,611300000000,1109000000000
2000,2453200000000,4309000000000,1983900000000,633700000000,1193100000000
2001,2525600000000,4540000000000,1973100000000,670100000000,1279200000000
2002,2598800000000,4743900000000,1910400000000,743000000000,1345700000000
2003,2722600000000,5000500000000,2013000000000,826300000000,1384900000000
2004,2902000000000,5310600000000,2217200000000,891700000000,1447100000000
2005,3082900000000,5664200000000,2477200000000,947500000000,1528500000000
2006,3239700000000,6020700000000,2632000000000,1000700000000,1623500000000
2007,3367000000000,6339400000000,2639100000000,1050500000000,1740300000000
2008,3363200000000,6613100000000,2506900000000,1150600000000,1831400000000
2009,3180000000000,6711200000000,2080400000000,1220800000000,1855600000000
2010,3317800000000,6942400000000,2111600000000,1300200000000,1855400000000
2011,3518100000000,7180700000000,2286300000000,1299800000000,1848200000000
2012,3637700000000,7409600000000,2550500000000,1287000000000,1849500000000
2013,3742200000000,7646100000000,2732900000000,1227400000000,1905200000000
2014,3886600000000,7987900000000,2989200000000,1217100000000,1951500000000
2015,3955100000000,8342299999999.999,3148400000000,1222800000000,2010600000000
2016,4033000000000,8693799999999.999,3239200000000,1237400000000,2065699999999.9998
2017,4212200000000,9078400000000,3435000000000,1266100000000,2131100000000
2018,4414200000000,9520200000000,3668400000000,1346300000000,2244100000000
2019,4529200000000,9888500000000,3820200000000,1422200000000,2367700000000
2020,4713100000000,9493100000000,3785900000000,1523400000000,2471300000000
2021,5506600000000,10536300000000,4204600000000.0005,1594300000000,2598700000000
2022,5997000000000,11514700000000,4599300000000,1635500000000,2811300000000
2023,6192700000000,12371400000000,4786200000000,1771700000000,2969600000000
